fruit_gain_g,mean,median,std,skew,n
1584.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1584.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1584.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
3663.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
3663.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
3663.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1631.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1631.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1631.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1023.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1023.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1023.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4103.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4103.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4103.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1358.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1358.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1358.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1043.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1043.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1043.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4163.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4163.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4163.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2790.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2790.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2790.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2994.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2994.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2994.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
919.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
919.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2682.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2682.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2682.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2149.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2149.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2149.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1883.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1883.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1883.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1103.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1103.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1103.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1917.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1917.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1917.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1930.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1930.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1930.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2659.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2659.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2659.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2113.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2113.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2113.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
3694.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
3694.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
3694.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
409.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
409.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
409.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4304.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4304.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4304.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1054.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1368.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1368.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1368.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2262.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2262.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2262.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2385.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2385.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2385.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
3773.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
3773.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
3773.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4400.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4400.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4400.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
520.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
520.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
520.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
5284.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
5284.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
5284.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
5415.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
5415.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
5415.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2137.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2137.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2137.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4585.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4585.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4585.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
15875.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
15875.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
15875.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2179.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2179.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2179.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4598.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4598.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4598.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1345.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1345.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1345.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1257.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1257.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1257.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2195.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2195.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1089.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1089.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1881.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1881.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1881.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4753.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4753.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4753.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2404.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2404.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2404.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
9097.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
9097.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
9097.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4436.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4436.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4436.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4069.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4069.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
4069.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2844.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2844.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2844.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1703.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1703.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1703.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2111.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2111.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2111.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
3781.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
3781.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
3781.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
762.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
762.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
762.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
10355.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
10355.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
10355.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2794.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2794.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2794.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1814.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1814.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1814.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2668.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2668.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2668.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
8057.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
8057.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
8057.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1860.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1860.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
1860.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
9856.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
9856.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
9856.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2772.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2772.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
2772.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
6499.3333,4546.618551503759,3362.3333,3556.481638017881,1.606965910332621,532
