feature,group_size,delta_RMSE_g_mean,delta_RMSE_g_std,delta_MAE_g_mean,delta_MAE_g_std,delta_R2_mean,delta_R2_std,baseline_RMSE_g,baseline_MAE_g,baseline_R2
No of Branches,1,5.9264404296875,10.728191278771272,2.5860107421875,8.721369640036286,-0.0021305918693542,0.0038392841451311,1936.711669921875,1329.855712890625,0.654126763343811
Total Stems,1,6.4421875,3.805740550356422,6.60350341796875,3.42230479334804,-0.0023061156272888,0.0013649125542159,1936.711669921875,1329.855712890625,0.654126763343811
Total Fruit,1,9.549267578125,5.013422177512537,3.85203857421875,4.951443552678242,-0.0034214496612548,0.0018024676150125,1936.711669921875,1329.855712890625,0.654126763343811
Speed(ft/sec),1,13.2831298828125,10.959120730808005,3.7520263671875,8.085298962872018,-0.0047717154026031,0.0039417610646938,1936.711669921875,1329.855712890625,0.654126763343811
Stem Height(cm),1,27.79344482421875,18.71539905757337,41.880029296875,16.495845277718416,-0.0100306212902069,0.0067772678787117,1936.711669921875,1329.855712890625,0.654126763343811
Year,2,38.42733154296875,23.895703263702377,82.93101806640625,24.15942668799786,-0.0139141142368316,0.0087750669464149,1936.711669921875,1329.855712890625,0.654126763343811
Harvesting mechanism,5,371.2140380859375,81.33030762594034,236.2271728515625,64.22598790386309,-0.1459053516387939,0.0344210158756083,1936.711669921875,1329.855712890625,0.654126763343811
Harvesting Type,2,395.9611083984375,44.45786700334031,287.9361328125,35.827941720454646,-0.1560673773288727,0.0191146602587639,1936.711669921875,1329.855712890625,0.654126763343811
Farm,4,1141.2322998046875,179.8045504744391,946.1169677734376,154.56590976403297,-0.5306994140148162,0.1024546987828693,1936.711669921875,1329.855712890625,0.654126763343811
