model,val_RMSE_g,test_RMSE_g,val_R2,test_R2,best_epoch
SAGE,1843.8753662109375,2183.489013671875,0.601454496383667,0.5603682994842529,2
GCN,1994.396728515625,2224.283203125,0.5337295532226562,0.5437874794006348,15
