seed,val_RMSE_g,val_R2,test_RMSE_g,test_R2,best_epoch
49,1476.9405517578125,0.7442940473556519,1823.8406982421875,0.6932668089866638,325
50,1411.4130859375,0.7664805054664612,1836.5516357421875,0.6889764070510864,601
41,1444.1263427734375,0.7555302381515503,1859.07568359375,0.681300699710846,414
45,1470.443603515625,0.7465387582778931,1900.9300537109375,0.6667890548706055,534
43,1473.954345703125,0.7453269958496094,1912.2994384765625,0.6627912521362305,451
48,1388.8245849609375,0.7738953232765198,1913.2371826171875,0.6624605059623718,661
46,1475.627197265625,0.744748592376709,1956.31591796875,0.6470891833305359,593
47,1467.77685546875,0.7474572658538818,1958.39306640625,0.6463393568992615,396
44,1441.8277587890625,0.75630784034729,1966.880126953125,0.6432673931121826,598
42,1487.7830810546875,0.7405259013175964,1974.8253173828125,0.6403795480728149,478
